Iteration: 1880/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0001
Iteration: 1890/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0002
Iteration: 1900/5000	 MSE functional: 0.0000	 MSE terminal: 0.0001	 Total Loss: 0.0001
Iteration: 1910/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0002
Iteration: 1920/5000	 MSE functional: 0.0000	 MSE terminal: 0.0001	 Total Loss: 0.0001
Iteration: 1930/5000	 MSE functional: 0.0000	 MSE terminal: 0.0001	 Total Loss: 0.0001
Iteration: 1940/5000	 MSE functional: 0.0001	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 1950/5000	 MSE functional: 0.0001	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 1960/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0002
Iteration: 1970/5000	 MSE functional: 0.0001	 MSE terminal: 0.0000	 Total Loss: 0.0002
Iteration: 1980/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0002
Iteration: 1990/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0002
Iteration: 2000/5000	 MSE functional: 0.0000	 MSE terminal: 0.0001	 Total Loss: 0.0001
Iteration: 2010/5000	 MSE functional: 0.0000	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2020/5000	 MSE functional: 0.0001	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2030/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0001
Iteration: 2040/5000	 MSE functional: 0.0001	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2050/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0001
Iteration: 2060/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0001
Iteration: 2070/5000	 MSE functional: 0.0001	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2080/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0001
Iteration: 2090/5000	 MSE functional: 0.0000	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2100/5000	 MSE functional: 0.0001	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2110/5000	 MSE functional: 0.0001	 MSE terminal: 0.0000	 Total Loss: 0.0002
Iteration: 2120/5000	 MSE functional: 0.0000	 MSE terminal: 0.0001	 Total Loss: 0.0001
Iteration: 2130/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0001
Iteration: 2140/5000	 MSE functional: 0.0001	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2150/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0002
Iteration: 2160/5000	 MSE functional: 0.0001	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2170/5000	 MSE functional: 0.0001	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2180/5000	 MSE functional: 0.0001	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2190/5000	 MSE functional: 0.0000	 MSE terminal: 0.0001	 Total Loss: 0.0001
Iteration: 2200/5000	 MSE functional: 0.0001	 MSE terminal: 0.0000	 Total Loss: 0.0002
Iteration: 2210/5000	 MSE functional: 0.0000	 MSE terminal: 0.0001	 Total Loss: 0.0001
Iteration: 2220/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0002
Iteration: 2230/5000	 MSE functional: 0.0000	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2240/5000	 MSE functional: 0.0001	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2250/5000	 MSE functional: 0.0001	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2260/5000	 MSE functional: 0.0000	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2270/5000	 MSE functional: 0.0000	 MSE terminal: 0.0001	 Total Loss: 0.0001
Iteration: 2280/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0002
Iteration: 2290/5000	 MSE functional: 0.0000	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2300/5000	 MSE functional: 0.0000	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2310/5000	 MSE functional: 0.0001	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2320/5000	 MSE functional: 0.0000	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2330/5000	 MSE functional: 0.0001	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2340/5000	 MSE functional: 0.0001	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2350/5000	 MSE functional: 0.0001	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2360/5000	 MSE functional: 0.0000	 MSE terminal: 0.0001	 Total Loss: 0.0001
Iteration: 2370/5000	 MSE functional: 0.0000	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2380/5000	 MSE functional: 0.0000	 MSE terminal: 0.0001	 Total Loss: 0.0001
Iteration: 2390/5000	 MSE functional: 0.0000	 MSE terminal: 0.0001	 Total Loss: 0.0001
Iteration: 2400/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0002
Iteration: 2410/5000	 MSE functional: 0.0001	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2420/5000	 MSE functional: 0.0001	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2430/5000	 MSE functional: 0.0000	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2440/5000	 MSE functional: 0.0001	 MSE terminal: 0.0000	 Total Loss: 0.0002
Iteration: 2450/5000	 MSE functional: 0.0001	 MSE terminal: 0.0001	 Total Loss: 0.0001
Iteration: 2460/5000	 MSE functional: 0.0001	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2470/5000	 MSE functional: 0.0000	 MSE terminal: 0.0001	 Total Loss: 0.0001
Iteration: 2480/5000	 MSE functional: 0.0001	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2490/5000	 MSE functional: 0.0001	 MSE terminal: 0.0000	 Total Loss: 0.0002
Iteration: 2500/5000	 MSE functional: 0.0001	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2510/5000	 MSE functional: 0.0001	 MSE terminal: 0.0000	 Total Loss: 0.0001
Iteration: 2520/5000	 MSE functional: 0.0001	 MSE terminal: 0.0000	 Total Loss: 0.0002
